split,phase_detail,method,n,nwis,coverage90,width90_kw,events
calibration,background,context,2000,0.10503906302917368,0.928,144.8348443458696,0
calibration,background,persistence,2000,0.11990091091922177,0.799,160.3290730916667,0
calibration,background,quantile_raw,2000,0.10597778130969712,0.9,143.27094626350785,0
calibration,background,recovery,2000,0.10580609992105303,0.9075,143.81969820274205,0
calibration,background,rolling,2000,0.10584706728234307,0.9075,143.7642130301044,0
calibration,outage,context,104,0.08109399360517479,1.0,187.91555408440792,6
calibration,outage,persistence,104,0.11910309629186847,0.7788461538461539,111.92664246794871,6
calibration,outage,quantile_raw,104,0.08107532933201142,1.0,187.69307919351382,6
calibration,outage,recovery,104,0.0811180850517319,1.0,188.1000228616084,6
calibration,outage,rolling,104,0.08120451430812212,1.0,188.87326915786392,6
calibration,partial_restoration,context,72,0.13640182832951286,0.9722222222222222,224.63553703237088,6
calibration,partial_restoration,persistence,72,0.29145344956149355,0.4305555555555556,101.41174629629629,6
calibration,partial_restoration,quantile_raw,72,0.13617151993509397,0.9722222222222222,222.6769807090289,6
calibration,partial_restoration,recovery,72,0.13620228502540058,0.9722222222222222,223.03752768081915,6
calibration,partial_restoration,rolling,72,0.13622318034642575,0.9722222222222222,223.4455551192489,6
calibration,recovery_0_to_6h,context,136,0.1027035560245785,0.9264705882352942,150.51346613440856,6
calibration,recovery_0_to_6h,persistence,136,0.09954728072333477,0.875,181.04961286764706,6
calibration,recovery_0_to_6h,quantile_raw,136,0.1045165783435541,0.875,147.97652343062603,6
calibration,recovery_0_to_6h,recovery,136,0.10385764598017637,0.8970588235294118,149.018729399072,6
calibration,recovery_0_to_6h,rolling,136,0.10409114665635125,0.875,148.38494110679355,6
calibration,recovery_6_to_24h,context,208,0.09264866430179078,0.9903846153846154,135.05531025036314,6
calibration,recovery_6_to_24h,persistence,208,0.11127759248932019,0.7932692307692307,139.88303926282052,6
calibration,recovery_6_to_24h,quantile_raw,208,0.09252741720097866,0.9903846153846154,134.25299901024493,6
calibration,recovery_6_to_24h,recovery,208,0.09262202965639577,0.9903846153846154,135.0578649133214,6
calibration,recovery_6_to_24h,rolling,208,0.09260276712915887,0.9903846153846154,135.03873342837352,6
development_evaluation,background,context,1840,0.0871226737381652,0.9597826086956521,143.93020004564733,0
development_evaluation,background,persistence,1840,0.11506749215762983,0.8369565217391305,151.2960611956522,0
development_evaluation,background,quantile_raw,1840,0.08707890017201968,0.9597826086956521,143.89897572609053,0
development_evaluation,background,recovery,1840,0.0871090648774118,0.9597826086956521,143.9307220386996,0
development_evaluation,background,rolling,1840,0.08710885916261696,0.9597826086956521,143.9307220386996,0
development_evaluation,outage,context,104,0.09312819575018526,1.0,196.52135983318396,9
development_evaluation,outage,persistence,104,0.15590175906549433,0.7692307692307693,128.46308461538462,9
development_evaluation,outage,quantile_raw,104,0.0931151450055515,1.0,196.4932929011598,9
development_evaluation,outage,recovery,104,0.0931151450055515,1.0,196.4932929011598,9
development_evaluation,outage,rolling,104,0.0931151450055515,1.0,196.4932929011598,9
development_evaluation,partial_restoration,context,100,0.13731979976481826,0.95,216.59897532480184,9
development_evaluation,partial_restoration,persistence,100,0.28280343157070736,0.52,120.02321133333334,9
development_evaluation,partial_restoration,quantile_raw,100,0.13714344688155128,0.95,215.16023653645235,9
development_evaluation,partial_restoration,recovery,100,0.13714344688155128,0.95,215.16023653645235,9
development_evaluation,partial_restoration,rolling,100,0.13714344688155128,0.95,215.16023653645235,9
development_evaluation,recovery_0_to_6h,context,135,0.07664653562409092,0.9925925925925926,153.17560520401204,8
development_evaluation,recovery_0_to_6h,persistence,135,0.1135720883410897,0.837037037037037,175.0780738271605,8
development_evaluation,recovery_0_to_6h,quantile_raw,135,0.07664084802520156,0.9925925925925926,153.17560520401204,8
development_evaluation,recovery_0_to_6h,recovery,135,0.07664084802520156,0.9925925925925926,153.17560520401204,8
development_evaluation,recovery_0_to_6h,rolling,135,0.07664084802520156,0.9925925925925926,153.17560520401204,8
development_evaluation,recovery_6_to_24h,context,201,0.09933286007102875,0.9303482587064676,141.17345394522704,8
development_evaluation,recovery_6_to_24h,persistence,201,0.12331732542189924,0.8258706467661692,144.26929552238806,8
development_evaluation,recovery_6_to_24h,quantile_raw,201,0.09932674990013322,0.9303482587064676,141.17345394522704,8
development_evaluation,recovery_6_to_24h,recovery,201,0.09932674990013322,0.9303482587064676,141.17345394522704,8
development_evaluation,recovery_6_to_24h,rolling,201,0.09932674990013322,0.9303482587064676,141.17345394522704,8
validation,background,context,1477,0.1046674180058096,0.9478672985781991,151.89898394210653,0
validation,background,persistence,1477,0.1234114484318388,0.8463100880162492,183.78748821936358,0
validation,background,quantile_raw,1477,0.10486128778189653,0.9383886255924171,151.39363114681004,0
validation,background,recovery,1477,0.10483714604237049,0.9410968178740691,151.5543378359252,0
validation,background,rolling,1477,0.10484428407474987,0.940419769803656,151.49663744738837,0
validation,outage,context,72,0.09242443638425968,1.0,189.99756042745094,6
validation,outage,persistence,72,0.18003696018601587,0.6805555555555556,132.16225439814815,6
validation,outage,quantile_raw,72,0.09242443638425968,1.0,189.99756042745094,6
validation,outage,recovery,72,0.09242715914797256,1.0,190.04915407704618,6
validation,outage,rolling,72,0.09245154214384328,1.0,190.4311019944528,6
validation,partial_restoration,context,72,0.15043026734628256,0.9722222222222222,218.93441327727015,6
validation,partial_restoration,persistence,72,0.34128145790455083,0.375,117.97228125,6
validation,partial_restoration,quantile_raw,72,0.15060171943617673,0.9722222222222222,218.8610976148081,6
validation,partial_restoration,recovery,72,0.15060984077808176,0.9722222222222222,218.98960855244465,6
validation,partial_restoration,rolling,72,0.15061587279260188,0.9722222222222222,219.0812382829001,6
validation,recovery_0_to_6h,context,132,0.10666363865107642,0.9166666666666666,167.37124370810048,6
validation,recovery_0_to_6h,persistence,132,0.12401608541481095,0.8712121212121212,214.08971818181817,6
validation,recovery_0_to_6h,quantile_raw,132,0.10667828215839578,0.9090909090909091,166.78172626704904,6
validation,recovery_0_to_6h,recovery,132,0.10665924036933751,0.9166666666666666,167.11612092427012,6
validation,recovery_0_to_6h,rolling,132,0.10666353983907827,0.9166666666666666,166.9577050255718,6
validation,recovery_6_to_24h,context,135,0.08224822613970452,0.9851851851851852,130.49838770109673,5
validation,recovery_6_to_24h,persistence,135,0.13844130923876893,0.7925925925925926,154.91501567901236,5
validation,recovery_6_to_24h,quantile_raw,135,0.08218371774474381,0.9851851851851852,130.0423574029808,5
validation,recovery_6_to_24h,recovery,135,0.08220709263920431,0.9851851851851852,130.41467019330844,5
validation,recovery_6_to_24h,rolling,135,0.0821951331599772,0.9851851851851852,130.25866810623825,5
